Id,Date,RobotID,UserID,Successful
189,"2019-08-09 01:36:36",2211,351,1
190,"2019-08-09 01:42:57",2215,351,1
191,"2019-08-09 03:57:06",2220,351,1
192,"2019-08-09 03:57:09",2222,351,1
193,"2019-08-09 05:47:05",1954,351,0
194,"2019-08-09 05:47:07",2128,351,1
195,"2019-08-09 05:47:09",2186,351,1
196,"2019-08-09 17:39:20",1954,366,0
197,"2019-08-09 21:04:08",1891,400,0
198,"2019-08-09 21:05:12",1891,399,0
199,"2019-08-09 21:05:39",1891,400,0
200,"2019-08-09 21:06:11",1891,399,0
201,"2019-08-09 21:07:02",1891,399,0
202,"2019-08-09 21:10:00",2307,399,1
203,"2019-08-10 05:32:39",2297,404,0
204,"2019-08-10 06:07:10",2328,404,1
205,"2019-08-11 06:37:51",2364,351,1
206,"2019-08-11 06:40:43",2371,351,1
207,"2019-08-14 18:52:48",2431,429,0
208,"2019-08-16 19:04:09",2428,435,1
209,"2019-08-17 01:13:05",2472,401,0
210,"2019-08-20 03:25:06",2472,351,1
211,"2019-08-22 08:40:27",2633,460,1
212,"2019-08-23 11:49:41",2707,366,1
213,"2019-08-24 11:33:35",2707,465,0
214,"2019-08-24 11:35:03",2633,465,0
215,"2019-08-24 20:48:23",2902,28,1
216,"2019-08-25 12:24:04",2888,465,1
217,"2019-08-26 18:46:27",2909,28,1
218,"2019-08-28 03:01:40",2964,351,1
219,"2019-08-28 22:28:49",3094,499,1
220,"2019-08-29 21:12:21",3204,499,1
221,"2019-08-29 21:24:47",3225,499,1
222,"2019-08-29 21:25:43",3186,499,1
223,"2019-08-29 21:27:49",3178,499,1
224,"2019-08-29 22:35:23",3204,351,0
225,"2019-08-30 06:36:34",3249,505,0
226,"2019-08-30 06:40:35",3249,505,1
227,"2019-09-03 01:42:38",3332,351,1
228,"2019-09-03 01:47:03",3349,351,1
229,"2019-09-03 01:48:17",3351,351,1
230,"2019-09-03 02:14:22",3363,351,1
231,"2019-09-03 02:16:24",3280,351,1
232,"2019-09-10 00:46:36",3454,351,1
233,"2019-09-10 00:47:16",3469,351,1
234,"2019-09-10 01:04:28",3474,351,1
235,"2019-09-10 01:29:54",3498,351,1
236,"2019-09-18 12:35:39",3637,554,1
237,"2019-09-29 17:51:53",3841,577,1
238,"2019-09-29 18:30:16",3909,577,1
239,"2019-10-03 13:07:25",4011,9,1
240,"2019-10-08 11:56:21",4052,601,1
241,"2019-10-08 12:00:34",4052,601,0
242,"2019-10-08 12:00:54",4052,601,0
243,"2019-10-08 12:02:44",4052,601,0
244,"2019-10-08 12:03:43",4077,601,1
245,"2019-10-08 12:04:33",4072,601,1
246,"2019-10-08 12:04:41",4019,600,1
247,"2019-10-08 12:06:55",4017,600,1
248,"2019-10-08 12:08:33",4080,601,1
249,"2019-10-08 12:11:14",4086,600,1
250,"2019-10-08 12:12:35",4086,600,0
251,"2019-10-08 12:12:59",4098,600,1
252,"2019-10-08 12:13:45",4101,601,1
253,"2019-10-08 12:16:06",4106,601,1
254,"2019-10-08 12:16:10",4107,601,1
255,"2019-10-08 12:18:56",4111,600,1
256,"2019-10-08 12:19:22",4114,600,1
257,"2019-10-08 12:19:38",4111,600,0
258,"2019-10-08 12:20:18",4116,600,1
259,"2019-10-08 12:20:36",4112,600,1
260,"2019-10-08 12:21:13",4118,600,0
261,"2019-10-08 12:21:59",4119,600,1
262,"2019-10-08 12:22:21",4120,600,0
263,"2019-10-08 12:32:08",4134,600,1
264,"2019-10-08 12:32:08",4134,601,0
265,"2019-10-08 12:33:09",4134,600,0
266,"2019-10-08 12:34:10",4138,600,1
267,"2019-10-08 12:36:15",4145,600,1
268,"2019-10-08 12:36:29",4146,601,1
269,"2019-10-08 12:39:59",4124,600,1
270,"2019-10-08 12:48:51",4172,600,1
271,"2019-10-08 12:53:13",4181,601,1
272,"2019-10-08 12:53:27",4182,600,1
273,"2019-10-08 12:54:32",4172,601,0
274,"2019-10-08 12:54:35",4184,601,1
275,"2019-10-08 12:55:10",4186,601,1
276,"2019-10-08 12:58:00",4186,601,0
277,"2019-10-09 20:25:07",4172,351,0
278,"2019-10-11 14:22:38",4052,609,0
279,"2019-10-11 14:24:27",4052,609,0
280,"2019-10-19 02:12:38",4280,644,1
281,"2019-10-19 02:33:05",4344,644,1
282,"2019-10-19 02:37:07",4397,644,1
283,"2019-10-19 02:58:14",4364,644,1
284,"2019-10-19 02:58:17",4392,644,1
285,"2019-10-19 02:58:22",4402,644,1
286,"2019-10-21 10:14:19",4418,652,1
287,"2019-10-21 10:29:59",4572,652,1
288,"2019-10-21 10:30:02",4575,652,1
289,"2019-10-21 10:30:05",4574,652,1
290,"2019-10-21 10:30:07",4576,652,1
291,"2019-10-21 10:30:10",4577,652,1
292,"2019-10-21 10:30:14",4578,652,1
293,"2019-10-21 10:30:19",4560,652,1
294,"2019-10-30 05:20:35",4759,673,1
295,"2019-11-26 00:23:58",4939,733,1
296,"2019-12-04 00:50:53",5019,754,1
297,"2019-12-04 23:32:24",5188,213,1
298,"2019-12-04 23:33:28",5210,213,1
299,"2019-12-12 18:11:37",5292,771,1
300,"2019-12-12 18:35:25",5322,771,1
301,"2019-12-12 19:18:57",5425,771,1
302,"2019-12-12 19:25:20",5435,771,1
303,"2019-12-13 09:36:53",5454,771,1
304,"2019-12-13 09:44:45",5425,771,0
305,"2019-12-13 09:47:00",5265,771,1
306,"2019-12-13 11:09:07",5481,771,1
307,"2019-12-13 11:11:29",5484,771,1
308,"2019-12-13 11:12:37",5476,771,1
309,"2019-12-17 17:17:27",5469,771,1
310,"2019-12-17 17:33:35",5526,771,1
