Users
Id,PosReinforcements,NegReinforcements,CommandCount,DateAdded,Points,PointsPerSec,StartInfoClaims,EndInfoClaims
245,9,9,0,2019-07-13 18:23:10,55.7615681,0.8,0,0
246,0,0,0,2019-07-13 18:46:59,4.2982683,0.1,0,0
247,91,90,0,2019-07-13 19:05:17,4660.9484174,4.5,0,0
248,0,0,0,2019-07-13 20:52:04,4.1915223,0.1,0,0
249,18,18,0,2019-07-14 02:46:58,112.8813614,1.2,0,0
250,0,0,0,2019-07-14 12:52:36,4.1904964,0.1,0,0
251,14,14,0,2019-07-14 15:21:35,49.1693569,0.7,0,0
252,7,7,0,2019-07-14 18:41:49,15.1892805,0.3,0,0
253,0,0,0,2019-07-14 20:25:03,4.447652,0.1,0,0
254,85,84,12,2019-07-15 01:13:03,4806.0951115,49.5,0,0
255,23,23,1,2019-07-15 02:11:32,190.6842061,7.9,0,0
256,1,1,0,2019-07-15 07:59:21,12.8592178,0.1,0,0
257,20,20,0,2019-07-15 11:33:30,73.353781,0.6,0,0
258,24,24,0,2019-07-15 13:23:23,143.2657266,1.0,0,0
259,0,0,0,2019-07-15 15:35:37,5.2170839,0.1,0,0
260,1,1,0,2019-07-15 21:11:47,4.6424033,0.2,0,0
261,3,3,0,2019-07-16 04:58:47,4.6898042,0.2,0,0
262,3,3,0,2019-07-16 17:33:55,38.8481931,0.3,0,0
263,0,0,0,2019-07-16 17:57:16,3.6554707,0.1,0,0
264,36,36,1,2019-07-16 21:13:22,1860.7241308,20.2,1,0
265,5,5,0,2019-07-16 21:30:25,25.2173158,0.3,0,0
266,0,0,0,2019-07-16 23:54:52,1.0,0.1,0,0
267,78,78,0,2019-07-17 04:51:48,1226.2552415,3.3,0,0
268,0,0,0,2019-07-17 10:01:43,1.0,0.1,0,0
269,15,15,0,2019-07-17 18:23:12,56.424801,1.1,0,0
270,3,3,0,2019-07-17 20:01:56,57.5393768,0.3,1,0
271,5,5,0,2019-07-17 20:56:45,9.7439584,0.3,0,0
272,172,171,1,2019-07-18 03:02:14,10352.4919014,12.1,0,0
273,3,3,0,2019-07-18 11:45:50,19.6858585,0.3,0,0
274,7,7,0,2019-07-18 12:21:00,8.6756593,0.2,0,0
275,0,0,0,2019-07-18 13:43:55,6.9567281,0.1,0,0
276,22,22,0,2019-07-18 14:06:24,20.715511,1.3,0,0
277,10,10,0,2019-07-18 20:21:16,129.8883812,0.6,0,0
278,1,1,0,2019-07-18 21:09:30,1.0,0.2,0,0
279,11,11,0,2019-07-18 21:23:24,116.9041396,1.1,0,0
280,68,68,0,2019-07-18 21:45:18,1108.4776214,3.3,0,0
281,3,3,0,2019-07-19 00:41:44,3.5235514,0.2,0,0
282,110,110,0,2019-07-19 07:23:24,3259.7097765,5.5,0,0
283,0,0,0,2019-07-19 08:30:10,1.0,0.1,0,0
284,4,4,0,2019-07-19 12:02:01,9.4855525,0.5,0,0
285,9,9,0,2019-07-19 14:59:25,39.1587055,0.7,0,0
286,1,1,0,2019-07-20 04:53:52,1.0,0.2,0,0
287,7,7,0,2019-07-20 09:05:36,15.5002567,0.4,0,0
288,271,270,7,2019-07-20 11:46:06,8844.2143045,55.6,1,0
289,6,6,0,2019-07-20 15:38:54,31.2078077,0.3,1,0
290,2,2,0,2019-07-20 18:32:18,4.6211086,0.2,0,0
291,2,2,0,2019-07-20 19:51:24,34.4843789,0.2,0,0
292,4,4,0,2019-07-20 20:04:39,7.8333956,0.2,0,0
293,13,13,0,2019-07-20 22:15:46,68.8359854,0.8,0,0
294,0,0,0,2019-07-20 23:32:24,1.0,0.1,0,0
295,3,3,0,2019-07-21 01:31:42,4.9689656,0.2,0,0
296,7,7,0,2019-07-21 01:36:09,23.4943122,0.4,0,0
297,3,3,0,2019-07-21 02:35:19,7.2682998,0.4,0,0
298,10,10,0,2019-07-21 03:18:57,37.1204784,0.6,0,0
299,3,3,0,2019-07-21 05:05:36,7.4224972,0.1,0,0
300,0,0,0,2019-07-21 11:19:51,1.0,0.1,0,0
301,96,96,0,2019-07-21 21:21:36,2621.6328036,4.8,0,0
302,9,9,0,2019-07-21 22:10:09,23.0010189,0.6,0,0
303,47,46,0,2019-07-21 23:40:41,1055.0598069,2.6,0,0
304,7,7,0,2019-07-22 00:38:39,28.696193,0.5,0,0
305,1,1,0,2019-07-22 03:04:36,1.0,0.1,0,0
306,3,3,0,2019-07-23 13:31:04,90.6170488,0.4,1,0
307,8,8,0,2019-07-23 15:52:45,20.8452074,0.4,0,0
308,5,5,0,2019-07-23 18:07:44,29.9956937,0.3,0,0
309,14,14,0,2019-07-23 19:19:49,3.80399209999999,0.7,0,0
310,4,4,0,2019-07-24 08:33:54,21.0628162,0.4,0,0
311,12,12,0,2019-07-24 16:48:32,37.1239611,0.2,0,0
312,1,1,0,2019-07-24 18:38:52,1.0,0.1,0,0
313,0,0,0,2019-07-24 18:50:58,10.9127946,0.1,0,0
314,1,1,0,2019-07-24 18:56:16,1.0,0.1,0,0
315,43,43,0,2019-07-25 02:24:02,647.8995759,1.3,0,0
316,15,15,0,2019-07-25 06:13:42,85.3037404,0.5,1,0
317,66,66,0,2019-07-25 18:32:46,1167.9868329,2.1,0,0
