



































































































3 of 10 bots unlocked.
2 of 10 environments unlocked.



         432134 function calls (423152 primitive calls) in 14.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.013    0.000 axis.py:229(set_clip_path)
     1797    0.002    0.000    0.013    0.000 __init__.py:829(__setitem__)
        4    0.013    0.003    0.013    0.003 {built-in method gc.collect}
        1    0.000    0.000    0.013    0.013 utils.py:4(<module>)
      3/2    0.000    0.000    0.013    0.006 image.py:120(_draw_list_compositing_images)
        1    0.000    0.000    0.013    0.013 _base.py:2556(draw)
      339    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      615    0.004    0.000    0.012    0.000 inspect.py:2115(_signature_from_function)
       20    0.011    0.001    0.011    0.001 {built-in method _pickle.load}
      181    0.000    0.000    0.011    0.000 patches.py:191(get_transform)
       24    0.000    0.000    0.011    0.000 axis.py:840(set_tick_params)
      178    0.000    0.000    0.011    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.010    0.010 rrule.py:7(<module>)
      124    0.000    0.000    0.010    0.000 database.py:1846(Safe_Execute)
        8    0.000    0.000    0.010    0.001 _base.py:2725(grid)
       16    0.000    0.000    0.010    0.001 axis.py:1418(grid)
      175    0.000    0.000    0.010    0.000 patches.py:708(get_patch_transform)
        1    0.000    0.000    0.010    0.010 parser.py:5(<module>)
      175    0.001    0.000    0.010    0.000 patches.py:679(_update_patch_transform)
        1    0.000    0.000    0.009    0.009 feedparser.py:20(<module>)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
        2    0.000    0.000    0.009    0.005 __init__.py:3(<module>)
        7    0.000    0.000    0.009    0.001 text.py:694(draw)
        1    0.000    0.000    0.008    0.008 evaluation.py:49(Start)
        1    0.000    0.000    0.008    0.008 text.py:280(_get_layout)
   206/70    0.000    0.000    0.008    0.000 _base.py:657(get_xaxis_transform)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5558(pyparsing_common)
